datetime,purpose_id,units,reading,upload_timestamp
1487735820.0,33,kW,0.070416667,1487735920.0476398
1487735760.0,33,kW,0.070366667,1487735920.0476398
1487735700.0,33,kW,0.0705,1487735920.0476398
1487735640.0,33,kW,0.070383333,1487735920.0476398
1487735580.0,33,kW,0.070416667,1487735920.0476398
1487735820.0,34,kW,-0.000166667,1487735920.0476398
1487735760.0,34,kW,-0.00015,1487735920.0476398
1487735700.0,34,kW,-0.00015,1487735920.0476398
1487735640.0,34,kW,-0.00015,1487735920.0476398
1487735580.0,34,kW,-0.00015,1487735920.0476398
1487735820.0,35,kW,0.000116667,1487735920.0476398
1487735760.0,35,kW,0.000133333,1487735920.0476398
1487735700.0,35,kW,0.000116667,1487735920.0476398
1487735640.0,35,kW,0.000116667,1487735920.0476398
1487735580.0,35,kW,0.000116667,1487735920.0476398
1487735820.0,31,kW,0.069083333,1487735920.0476398
1487735760.0,31,kW,0.069016667,1487735920.0476398
1487735700.0,31,kW,0.069133333,1487735920.0476398
1487735640.0,31,kW,0.06905,1487735920.0476398
1487735580.0,31,kW,0.069083333,1487735920.0476398
1487735820.0,37,kW,0.0002,1487735920.0476398
1487735760.0,37,kW,0.0002,1487735920.0476398
1487735700.0,37,kW,0.000216667,1487735920.0476398
1487735640.0,37,kW,0.0002,1487735920.0476398
1487735580.0,37,kW,0.0002,1487735920.0476398
1487735820.0,36,kW,0.001133333,1487735920.0476398
1487735760.0,36,kW,0.00115,1487735920.0476398
1487735700.0,36,kW,0.00115,1487735920.0476398
1487735640.0,36,kW,0.001133333,1487735920.0476398
1487735580.0,36,kW,0.001133333,1487735920.0476398
1487735820.0,32,kW,0.069133333,1487735920.0476398
1487735760.0,32,kW,0.069033333,1487735920.0476398
1487735700.0,32,kW,0.069166667,1487735920.0476398
1487735640.0,32,kW,0.069083333,1487735920.0476398
1487735580.0,32,kW,0.069116667,1487735920.0476398
