datetime,purpose_id,units,reading,upload_timestamp
1487735520.0,36,kW,0.00115,1487735618.5451066
1487735460.0,36,kW,0.00115,1487735618.5451066
1487735400.0,36,kW,0.00115,1487735618.5451066
1487735340.0,36,kW,0.001133333,1487735618.5451066
1487735280.0,36,kW,0.001133333,1487735618.5451066
1487735220.0,36,kW,0.001133333,1487735618.5451066
1487735160.0,36,kW,0.00115,1487735618.5451066
1487735100.0,36,kW,0.001133333,1487735618.5451066
1487735040.0,36,kW,0.001133333,1487735618.5451066
1487734980.0,36,kW,0.00115,1487735618.5451066
1487734920.0,36,kW,0.001133333,1487735618.5451066
1487734860.0,36,kW,0.001133333,1487735618.5451066
1487734800.0,36,kW,0.00115,1487735618.5451066
1487734740.0,36,kW,0.001133333,1487735618.5451066
1487734680.0,36,kW,0.001133333,1487735618.5451066
1487734620.0,36,kW,0.001133333,1487735618.5451066
1487734560.0,36,kW,0.001133333,1487735618.5451066
1487734500.0,36,kW,0.001116667,1487735618.5451066
1487734440.0,36,kW,0.001116667,1487735618.5451066
1487734380.0,36,kW,0.0011,1487735618.5451066
1487734320.0,36,kW,0.001133333,1487735618.5451066
1487734260.0,36,kW,0.001133333,1487735618.5451066
1487734200.0,36,kW,0.0011,1487735618.5451066
1487734140.0,36,kW,0.001116667,1487735618.5451066
1487734080.0,36,kW,0.0011,1487735618.5451066
1487734020.0,36,kW,0.0011,1487735618.5451066
1487733960.0,36,kW,0.001133333,1487735618.5451066
1487733900.0,36,kW,0.0011,1487735618.5451066
1487733840.0,36,kW,0.001133333,1487735618.5451066
1487733780.0,36,kW,0.0011,1487735618.5451066
1487733720.0,36,kW,0.0011,1487735618.5451066
1487733660.0,36,kW,0.001116667,1487735618.5451066
1487733600.0,36,kW,0.001116667,1487735618.5451066
1487733540.0,36,kW,0.00115,1487735618.5451066
1487733480.0,36,kW,0.00115,1487735618.5451066
1487733420.0,36,kW,0.001166667,1487735618.5451066
1487733360.0,36,kW,0.001133333,1487735618.5451066
1487733300.0,36,kW,0.00115,1487735618.5451066
1487733240.0,36,kW,0.001133333,1487735618.5451066
1487733180.0,36,kW,0.00115,1487735618.5451066
