datetime,purpose_id,units,reading,upload_timestamp
1487902140.0,33,kW,0.083816667,1487902621.767949
1487902080.0,33,kW,0.083733333,1487902621.767949
1487902020.0,33,kW,0.083533333,1487902621.767949
1487901960.0,33,kW,0.0841,1487902621.767949
1487902140.0,34,kW,-0.000183333,1487902621.767949
1487902080.0,34,kW,-0.000183333,1487902621.767949
1487902020.0,34,kW,-0.000166667,1487902621.767949
1487901960.0,34,kW,-0.000183333,1487902621.767949
1487902140.0,31,kW,0.082483333,1487902621.767949
1487902080.0,31,kW,0.082383333,1487902621.767949
1487902020.0,31,kW,0.082183333,1487902621.767949
1487901960.0,31,kW,0.08275,1487902621.767949
1487902140.0,35,kW,0.000133333,1487902621.767949
1487902080.0,35,kW,0.00015,1487902621.767949
1487902020.0,35,kW,0.00015,1487902621.767949
1487901960.0,35,kW,0.00015,1487902621.767949
1487902140.0,37,kW,0.0002,1487902621.767949
1487902080.0,37,kW,0.0002,1487902621.767949
1487902020.0,37,kW,0.0002,1487902621.767949
1487901960.0,37,kW,0.0002,1487902621.767949
1487902140.0,32,kW,0.082533333,1487902621.767949
1487902080.0,32,kW,0.082416667,1487902621.767949
1487902020.0,32,kW,0.0822,1487902621.767949
1487901960.0,32,kW,0.082783333,1487902621.767949
1487902140.0,36,kW,0.001133333,1487902621.767949
1487902080.0,36,kW,0.00115,1487902621.767949
1487902020.0,36,kW,0.00115,1487902621.767949
1487901960.0,36,kW,0.00115,1487902621.767949
